                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
   15-03-2024 12:58:37:83:917           Drone and target coincide                                 -
   15-03-2024 12:58:37:83:965           Drone and target coincide                                 -
    15-03-2024 12:58:37:84:13           Drone and target coincide                                 -
    15-03-2024 12:58:37:84:71                             ScaledY                              17.28
   15-03-2024 12:58:37:84:126                             ScaledX                              60.30
   15-03-2024 12:58:37:84:181                      dronePositionY                                 17
   15-03-2024 12:58:37:84:230                      dronePositionX                                 60
   15-03-2024 12:58:37:84:277                           droneMaxY                                201
   15-03-2024 12:58:37:84:325                           droneMaxX                                 27
   15-03-2024 12:58:37:87:831                      Skipped target                                 -
   15-03-2024 12:58:37:87:893                      Skipped target                                 -
   15-03-2024 12:58:37:87:942                      Skipped target                                 -
   15-03-2024 12:58:37:87:990                      Skipped target                                 -
    15-03-2024 12:58:37:88:39                      Skipped target                                 -
    15-03-2024 12:58:37:88:88                      Skipped target                                 -
   15-03-2024 12:58:37:88:135                      Skipped target                                 -
   15-03-2024 12:58:37:88:184                      Skipped target                                 -
   15-03-2024 12:58:37:88:266                      Skipped target                                 -
   15-03-2024 12:58:37:88:320                      Skipped target                                 -
     15-03-2024 12:58:37:89:9                      Skipped target                                 -
    15-03-2024 12:58:37:89:64                      Skipped target                                 -
   15-03-2024 12:58:37:89:112                      Skipped target                                 -
   15-03-2024 12:58:37:89:160                      Skipped target                                 -
   15-03-2024 12:58:37:89:209                      Skipped target                                 -
   15-03-2024 12:58:37:89:299                      Skipped target                                 -
   15-03-2024 12:58:37:89:348                      Skipped target                                 -
   15-03-2024 12:58:37:89:396                      Skipped target                                 -
   15-03-2024 12:58:37:89:444                      Skipped target                                 -
   15-03-2024 12:58:37:89:491                      Skipped target                                 -
   15-03-2024 12:58:37:97:256                         targetcount                                  0
   15-03-2024 12:58:37:97:311                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:352                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:387                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:423                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:459                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:499                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:574                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:618                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:654                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:691                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:765                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:808                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:843                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:879                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:955                    Skipped obstacle                                 -
   15-03-2024 12:58:37:97:996                    Skipped obstacle                                 -
    15-03-2024 12:58:37:98:30                    Skipped obstacle                                 -
    15-03-2024 12:58:37:98:65                    Skipped obstacle                                 -
   15-03-2024 12:58:37:98:106                    Skipped obstacle                                 -
   15-03-2024 12:58:37:98:144                    Skipped obstacle                                 -
  15-03-2024 12:58:37:299:468                          user input                                 -1
  15-03-2024 12:58:37:300:214                            yMax_now                                203
  15-03-2024 12:58:37:300:493                            xMax_now                                 55
  15-03-2024 12:58:37:300:838                 Pipe_dronePositionY                                 15
  15-03-2024 12:58:37:301:687                 Pipe_dronePositionX                                 15
  15-03-2024 12:58:37:301:740          Received obstacles ycoords                                 -
  15-03-2024 12:58:37:302:843          Received obstacles xcoords                                 -
  15-03-2024 12:58:37:302:913           Drone and target coincide                                 -
  15-03-2024 12:58:37:303:799           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:166           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:628           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:661           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:686           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:710           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:739           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:763           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:786           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:811           Drone and target coincide                                 -
  15-03-2024 12:58:37:304:839           Drone and target coincide                                 -
  15-03-2024 12:58:37:305:974           Drone and target coincide                                 -
   15-03-2024 12:58:37:306:56           Drone and target coincide                                 -
   15-03-2024 12:58:37:306:83           Drone and target coincide                                 -
  15-03-2024 12:58:37:306:107           Drone and target coincide                                 -
  15-03-2024 12:58:37:306:130           Drone and target coincide                                 -
  15-03-2024 12:58:37:306:153           Drone and target coincide                                 -
  15-03-2024 12:58:37:306:176           Drone and target coincide                                 -
  15-03-2024 12:58:37:306:200           Drone and target coincide                                 -
  15-03-2024 12:58:37:306:228                             ScaledY                              16.20
  15-03-2024 12:58:37:306:626                             ScaledX                              30.15
  15-03-2024 12:58:37:306:692                      dronePositionY                                 16
