                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  17-03-2024 17:37:39:387:736                           Magnitude                               0.00
  17-03-2024 17:37:39:387:766                               Angle                               0.00
  17-03-2024 17:37:39:387:796                           Magnitude                               0.00
  17-03-2024 17:37:39:387:826                               Angle                               0.00
  17-03-2024 17:37:39:387:858                      DronePositionX                                 15
  17-03-2024 17:37:39:387:887                      DronePositionY                                 15
  17-03-2024 17:37:39:387:917                dronePositionChangeX                                  0
  17-03-2024 17:37:39:387:946                dronePositionChangeY                                  0
  17-03-2024 17:37:39:387:975                              ForceY                                  0
    17-03-2024 17:37:39:388:5                              ForceX                                  0
  17-03-2024 17:37:39:489:131                            keyvalue                                 -1
  17-03-2024 17:37:39:489:245          Received obstacles ycoords                                 -
  17-03-2024 17:37:39:489:283          Received obstacles ycoords                                 -
  17-03-2024 17:37:39:489:334                           Magnitude                               0.00
  17-03-2024 17:37:39:489:367                               Angle                               0.00
  17-03-2024 17:37:39:489:398                           Magnitude                               0.00
  17-03-2024 17:37:39:489:427                               Angle                               0.00
  17-03-2024 17:37:39:489:456                           Magnitude                               0.00
  17-03-2024 17:37:39:489:486                               Angle                               0.00
  17-03-2024 17:37:39:489:516                           Magnitude                               0.00
  17-03-2024 17:37:39:489:585                               Angle                               0.00
  17-03-2024 17:37:39:489:646                           Magnitude                               0.00
  17-03-2024 17:37:39:489:679                               Angle                               0.00
  17-03-2024 17:37:39:489:709                           Magnitude                               0.00
  17-03-2024 17:37:39:489:740                               Angle                               0.00
  17-03-2024 17:37:39:489:770                           Magnitude                               0.00
  17-03-2024 17:37:39:489:800                               Angle                               0.00
  17-03-2024 17:37:39:489:830                           Magnitude                               0.00
  17-03-2024 17:37:39:489:859                               Angle                               0.00
  17-03-2024 17:37:39:489:889                           Magnitude                               0.00
  17-03-2024 17:37:39:489:919                               Angle                               0.00
  17-03-2024 17:37:39:489:949                           Magnitude                               0.00
  17-03-2024 17:37:39:489:979                               Angle                               0.00
    17-03-2024 17:37:39:490:9                           Magnitude                               0.00
   17-03-2024 17:37:39:490:39                               Angle                               0.00
