                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  17-03-2024 17:37:43:307:573               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:43:408:346        received response from 23923                                 -
  17-03-2024 17:37:43:408:443                         current pid                              23928
  17-03-2024 17:37:43:408:487               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:43:408:908        received response from 23928                                 -
  17-03-2024 17:37:43:408:989                         current pid                              23922
   17-03-2024 17:37:43:409:71               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:43:509:624        received response from 23922                                 -
  17-03-2024 17:37:43:509:683                         current pid                              23923
  17-03-2024 17:37:43:509:765               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:43:610:922        received response from 23923                                 -
   17-03-2024 17:37:43:611:37                         current pid                              23928
  17-03-2024 17:37:43:611:722               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:43:712:735        received response from 23928                                 -
  17-03-2024 17:37:43:712:867                         current pid                              23922
  17-03-2024 17:37:43:712:927               sent SIGUSR1 to 23922                                 -
   17-03-2024 17:37:43:814:21        received response from 23922                                 -
  17-03-2024 17:37:43:814:323                         current pid                              23923
  17-03-2024 17:37:43:814:440               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:43:915:133        received response from 23923                                 -
  17-03-2024 17:37:43:915:244                         current pid                              23928
  17-03-2024 17:37:43:915:293               sent SIGUSR1 to 23928                                 -
   17-03-2024 17:37:44:16:150        received response from 23928                                 -
   17-03-2024 17:37:44:16:244                         current pid                              23922
   17-03-2024 17:37:44:16:327               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:44:116:901        received response from 23922                                 -
   17-03-2024 17:37:44:117:37                         current pid                              23923
  17-03-2024 17:37:44:117:114               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:44:218:210        received response from 23923                                 -
  17-03-2024 17:37:44:218:343                         current pid                              23928
  17-03-2024 17:37:44:218:387               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:44:318:942        received response from 23928                                 -
   17-03-2024 17:37:44:319:49                         current pid                              23922
  17-03-2024 17:37:44:319:168               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:44:420:631        received response from 23922                                 -
  17-03-2024 17:37:44:420:726                         current pid                              23923
  17-03-2024 17:37:44:420:807               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:44:521:286        received response from 23923                                 -
  17-03-2024 17:37:44:521:379                         current pid                              23928
  17-03-2024 17:37:44:521:427               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:44:622:451        received response from 23928                                 -
  17-03-2024 17:37:44:622:543                         current pid                              23922
  17-03-2024 17:37:44:622:626               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:44:723:375        received response from 23922                                 -
  17-03-2024 17:37:44:723:473                         current pid                              23923
  17-03-2024 17:37:44:723:555               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:44:824:295        received response from 23923                                 -
  17-03-2024 17:37:44:824:399                         current pid                              23928
  17-03-2024 17:37:44:824:449               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:44:925:634        received response from 23928                                 -
  17-03-2024 17:37:44:925:790                         current pid                              23922
  17-03-2024 17:37:44:925:910               sent SIGUSR1 to 23922                                 -
   17-03-2024 17:37:45:26:638        received response from 23922                                 -
   17-03-2024 17:37:45:26:740                         current pid                              23923
   17-03-2024 17:37:45:26:843               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:45:127:710        received response from 23923                                 -
  17-03-2024 17:37:45:127:834                         current pid                              23928
  17-03-2024 17:37:45:127:917               sent SIGUSR1 to 23928                                 -
   17-03-2024 17:37:45:229:70        received response from 23928                                 -
  17-03-2024 17:37:45:229:172                         current pid                              23922
  17-03-2024 17:37:45:229:269               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:45:329:852        received response from 23922                                 -
  17-03-2024 17:37:45:329:953                         current pid                              23923
   17-03-2024 17:37:45:330:37               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:45:431:132        received response from 23923                                 -
  17-03-2024 17:37:45:431:220                         current pid                              23928
  17-03-2024 17:37:45:431:268               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:45:532:679        received response from 23928                                 -
  17-03-2024 17:37:45:532:784                         current pid                              23922
  17-03-2024 17:37:45:532:866               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:45:634:215        received response from 23922                                 -
  17-03-2024 17:37:45:634:301                         current pid                              23923
  17-03-2024 17:37:45:634:381               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:45:734:948        received response from 23923                                 -
   17-03-2024 17:37:45:735:40                         current pid                              23928
   17-03-2024 17:37:45:735:91               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:45:835:568        received response from 23928                                 -
  17-03-2024 17:37:45:835:657                         current pid                              23922
  17-03-2024 17:37:45:835:739               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:45:937:149        received response from 23922                                 -
  17-03-2024 17:37:45:937:235                         current pid                              23923
  17-03-2024 17:37:45:937:316               sent SIGUSR1 to 23923                                 -
   17-03-2024 17:37:46:37:829        received response from 23923                                 -
   17-03-2024 17:37:46:37:920                         current pid                              23928
   17-03-2024 17:37:46:37:968               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:46:138:472        received response from 23928                                 -
  17-03-2024 17:37:46:138:560                         current pid                              23922
  17-03-2024 17:37:46:138:642               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:46:239:315        received response from 23922                                 -
  17-03-2024 17:37:46:239:403                         current pid                              23923
  17-03-2024 17:37:46:239:484               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:46:340:678        received response from 23923                                 -
  17-03-2024 17:37:46:340:777                         current pid                              23928
  17-03-2024 17:37:46:340:827               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:46:441:745        received response from 23928                                 -
  17-03-2024 17:37:46:441:833                         current pid                              23922
  17-03-2024 17:37:46:441:929               sent SIGUSR1 to 23922                                 -
    17-03-2024 17:37:46:543:9        received response from 23922                                 -
   17-03-2024 17:37:46:543:95                         current pid                              23923
  17-03-2024 17:37:46:543:176               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:46:644:639        received response from 23923                                 -
  17-03-2024 17:37:46:644:729                         current pid                              23928
  17-03-2024 17:37:46:644:797               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:46:745:286        received response from 23928                                 -
  17-03-2024 17:37:46:745:430                         current pid                              23922
  17-03-2024 17:37:46:745:557               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:46:746:399        received response from 23922                                 -
  17-03-2024 17:37:46:746:440                         current pid                              23923
  17-03-2024 17:37:46:746:607               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:46:847:267        received response from 23923                                 -
  17-03-2024 17:37:46:847:328                         current pid                              23928
  17-03-2024 17:37:46:847:374               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:46:948:218        received response from 23928                                 -
  17-03-2024 17:37:46:948:315                         current pid                              23922
  17-03-2024 17:37:46:948:410               sent SIGUSR1 to 23922                                 -
   17-03-2024 17:37:47:48:836        received response from 23922                                 -
   17-03-2024 17:37:47:48:925                         current pid                              23923
    17-03-2024 17:37:47:49:21               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:47:149:852        received response from 23923                                 -
  17-03-2024 17:37:47:149:949                         current pid                              23928
  17-03-2024 17:37:47:149:998               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:47:250:661        received response from 23928                                 -
  17-03-2024 17:37:47:250:750                         current pid                              23922
  17-03-2024 17:37:47:250:843               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:47:351:525        received response from 23922                                 -
  17-03-2024 17:37:47:351:638                         current pid                              23923
  17-03-2024 17:37:47:351:757               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:47:452:351        received response from 23923                                 -
  17-03-2024 17:37:47:452:463                         current pid                              23928
  17-03-2024 17:37:47:452:540               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:47:553:421        received response from 23928                                 -
  17-03-2024 17:37:47:553:505                         current pid                              23922
  17-03-2024 17:37:47:553:587               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:47:654:640        received response from 23922                                 -
  17-03-2024 17:37:47:654:819                         current pid                              23923
  17-03-2024 17:37:47:654:935               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:47:655:688        received response from 23923                                 -
  17-03-2024 17:37:47:655:818                         current pid                              23928
  17-03-2024 17:37:47:655:895               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:47:757:574        received response from 23928                                 -
  17-03-2024 17:37:47:757:662                         current pid                              23922
  17-03-2024 17:37:47:757:772               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:47:858:577        received response from 23922                                 -
  17-03-2024 17:37:47:858:632                         current pid                              23923
  17-03-2024 17:37:47:858:777               sent SIGUSR1 to 23923                                 -
   17-03-2024 17:37:47:960:58        received response from 23923                                 -
  17-03-2024 17:37:47:960:112                         current pid                              23928
  17-03-2024 17:37:47:960:173               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:47:960:666        received response from 23928                                 -
  17-03-2024 17:37:47:960:710                         current pid                              23922
  17-03-2024 17:37:47:960:818               sent SIGUSR1 to 23922                                 -
   17-03-2024 17:37:48:61:682        received response from 23922                                 -
   17-03-2024 17:37:48:61:735                         current pid                              23923
   17-03-2024 17:37:48:61:855               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:48:162:270        received response from 23923                                 -
  17-03-2024 17:37:48:162:355                         current pid                              23928
  17-03-2024 17:37:48:162:402               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:48:262:942        received response from 23928                                 -
   17-03-2024 17:37:48:263:25                         current pid                              23922
  17-03-2024 17:37:48:263:119               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:48:363:709        received response from 23922                                 -
  17-03-2024 17:37:48:363:751                         current pid                              23923
  17-03-2024 17:37:48:363:843               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:48:464:450        received response from 23923                                 -
  17-03-2024 17:37:48:464:493                         current pid                              23928
  17-03-2024 17:37:48:464:538               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:48:565:637        received response from 23928                                 -
  17-03-2024 17:37:48:565:693                         current pid                              23922
  17-03-2024 17:37:48:565:796               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:48:667:127        received response from 23922                                 -
  17-03-2024 17:37:48:667:253                         current pid                              23923
  17-03-2024 17:37:48:667:370               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:48:767:746        received response from 23923                                 -
  17-03-2024 17:37:48:767:858                         current pid                              23928
