                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  17-03-2024 17:37:41:608:886                     keypressedValue                                 -1
  17-03-2024 17:37:41:608:920                      dronePositionY                                 15
  17-03-2024 17:37:41:608:950                      dronePositionX                                 15
  17-03-2024 17:37:41:709:535            Server performed 1 cycle                                 -
  17-03-2024 17:37:41:709:651                     keypressedValue                                 -1
  17-03-2024 17:37:41:709:686                      dronePositionY                                 15
  17-03-2024 17:37:41:709:716                      dronePositionX                                 15
  17-03-2024 17:37:41:810:212            Server performed 1 cycle                                 -
  17-03-2024 17:37:41:810:325                     keypressedValue                                 -1
  17-03-2024 17:37:41:810:359                      dronePositionY                                 15
  17-03-2024 17:37:41:810:389                      dronePositionX                                 15
  17-03-2024 17:37:41:910:947            Server performed 1 cycle                                 -
   17-03-2024 17:37:41:911:93                     keypressedValue                                 -1
  17-03-2024 17:37:41:911:150                      dronePositionY                                 15
  17-03-2024 17:37:41:911:200                      dronePositionX                                 15
   17-03-2024 17:37:42:12:217            Server performed 1 cycle                                 -
   17-03-2024 17:37:42:12:326                     keypressedValue                                 -1
   17-03-2024 17:37:42:12:360                      dronePositionY                                 15
   17-03-2024 17:37:42:12:390                      dronePositionX                                 15
  17-03-2024 17:37:42:112:819            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:112:907                     keypressedValue                                 -1
   17-03-2024 17:37:42:113:59                      dronePositionY                                 15
  17-03-2024 17:37:42:113:105                      dronePositionX                                 15
   17-03-2024 17:37:42:214:91            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:214:234                     keypressedValue                                 -1
  17-03-2024 17:37:42:214:269                      dronePositionY                                 15
  17-03-2024 17:37:42:214:300                      dronePositionX                                 15
  17-03-2024 17:37:42:314:813            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:314:955                     keypressedValue                                 -1
  17-03-2024 17:37:42:314:992                      dronePositionY                                 15
   17-03-2024 17:37:42:315:24                      dronePositionX                                 15
  17-03-2024 17:37:42:415:639            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:415:760                     keypressedValue                                 -1
  17-03-2024 17:37:42:415:794                      dronePositionY                                 15
  17-03-2024 17:37:42:415:824                      dronePositionX                                 15
   17-03-2024 17:37:42:517:39            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:517:194                     keypressedValue                                 -1
  17-03-2024 17:37:42:517:246                      dronePositionY                                 15
  17-03-2024 17:37:42:517:295                      dronePositionX                                 15
  17-03-2024 17:37:42:617:718            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:617:827                     keypressedValue                                 -1
  17-03-2024 17:37:42:617:863                      dronePositionY                                 15
  17-03-2024 17:37:42:617:893                      dronePositionX                                 15
  17-03-2024 17:37:42:718:194            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:718:259                     keypressedValue                                 -1
  17-03-2024 17:37:42:718:291                      dronePositionY                                 15
  17-03-2024 17:37:42:718:320                      dronePositionX                                 15
  17-03-2024 17:37:42:818:647            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:818:751                     keypressedValue                                 -1
  17-03-2024 17:37:42:818:785                      dronePositionY                                 15
  17-03-2024 17:37:42:818:815                      dronePositionX                                 15
  17-03-2024 17:37:42:919:869            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:919:984                     keypressedValue                                 -1
   17-03-2024 17:37:42:920:18                      dronePositionY                                 15
   17-03-2024 17:37:42:920:50                      dronePositionX                                 15
   17-03-2024 17:37:43:20:472            Server performed 1 cycle                                 -
   17-03-2024 17:37:43:20:586                     keypressedValue                                 -1
   17-03-2024 17:37:43:20:623                      dronePositionY                                 15
   17-03-2024 17:37:43:20:652                      dronePositionX                                 15
   17-03-2024 17:37:43:121:74            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:121:155                     keypressedValue                                 -1
  17-03-2024 17:37:43:121:186                      dronePositionY                                 15
  17-03-2024 17:37:43:121:216                      dronePositionX                                 15
  17-03-2024 17:37:43:221:658            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:221:807                     keypressedValue                                 -1
  17-03-2024 17:37:43:221:843                      dronePositionY                                 15
  17-03-2024 17:37:43:221:873                      dronePositionX                                 15
  17-03-2024 17:37:43:322:205            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:322:280                     keypressedValue                                 -1
  17-03-2024 17:37:43:322:312                      dronePositionY                                 15
  17-03-2024 17:37:43:322:342                      dronePositionX                                 15
  17-03-2024 17:37:43:422:769            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:422:876                     keypressedValue                                 -1
  17-03-2024 17:37:43:422:910                      dronePositionY                                 15
  17-03-2024 17:37:43:422:939                      dronePositionX                                 15
  17-03-2024 17:37:43:523:412            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:523:523                     keypressedValue                                 -1
  17-03-2024 17:37:43:523:558                      dronePositionY                                 15
  17-03-2024 17:37:43:523:673                      dronePositionX                                 15
  17-03-2024 17:37:43:624:381            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:624:483                     keypressedValue                                 -1
  17-03-2024 17:37:43:624:519                      dronePositionY                                 15
  17-03-2024 17:37:43:624:551                      dronePositionX                                 15
  17-03-2024 17:37:43:724:728            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:724:836                     keypressedValue                                 -1
  17-03-2024 17:37:43:724:871                      dronePositionY                                 15
  17-03-2024 17:37:43:724:901                      dronePositionX                                 15
  17-03-2024 17:37:43:825:377            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:825:639                     keypressedValue                                 -1
  17-03-2024 17:37:43:825:689                      dronePositionY                                 15
  17-03-2024 17:37:43:825:721                      dronePositionX                                 15
  17-03-2024 17:37:43:926:483            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:926:672                     keypressedValue                                 -1
  17-03-2024 17:37:43:926:722                      dronePositionY                                 15
  17-03-2024 17:37:43:926:767                      dronePositionX                                 15
   17-03-2024 17:37:44:27:392            Server performed 1 cycle                                 -
   17-03-2024 17:37:44:27:504                     keypressedValue                                 -1
   17-03-2024 17:37:44:27:539                      dronePositionY                                 15
   17-03-2024 17:37:44:27:569                      dronePositionX                                 15
  17-03-2024 17:37:44:128:255            Server performed 1 cycle                                 -
  17-03-2024 17:37:44:128:378                     keypressedValue                                 -1
  17-03-2024 17:37:44:128:908                      dronePositionY                                 15
    17-03-2024 17:37:44:129:8                      dronePositionX                                 15
  17-03-2024 17:37:44:229:838            Server performed 1 cycle                                 -
  17-03-2024 17:37:44:229:946                     keypressedValue                                 -1
  17-03-2024 17:37:44:229:998                      dronePositionY                                 15
   17-03-2024 17:37:44:230:47                      dronePositionX                                 15
  17-03-2024 17:37:44:330:989            Server performed 1 cycle                                 -
  17-03-2024 17:37:44:331:100                     keypressedValue                                 -1
  17-03-2024 17:37:44:331:135                      dronePositionY                                 15
  17-03-2024 17:37:44:331:165                      dronePositionX                                 15
  17-03-2024 17:37:44:431:555            Server performed 1 cycle                                 -
  17-03-2024 17:37:44:431:661                     keypressedValue                                 -1
  17-03-2024 17:37:44:431:696                      dronePositionY                                 15
  17-03-2024 17:37:44:431:726                      dronePositionX                                 15
  17-03-2024 17:37:44:532:790            Server performed 1 cycle                                 -
  17-03-2024 17:37:44:532:899                     keypressedValue                                 -1
  17-03-2024 17:37:44:532:934                      dronePositionY                                 15
  17-03-2024 17:37:44:532:964                      dronePositionX                                 15
    17-03-2024 17:37:44:634:5            Server performed 1 cycle                                 -
  17-03-2024 17:37:44:634:113                     keypressedValue                                 -1
  17-03-2024 17:37:44:634:148                      dronePositionY                                 15
  17-03-2024 17:37:44:634:178                      dronePositionX                                 15
  17-03-2024 17:37:44:734:955            Server performed 1 cycle                                 -
   17-03-2024 17:37:44:735:63                     keypressedValue                                 -1
   17-03-2024 17:37:44:735:97                      dronePositionY                                 15
  17-03-2024 17:37:44:735:127                      dronePositionX                                 15
  17-03-2024 17:37:44:835:415            Server performed 1 cycle                                 -
  17-03-2024 17:37:44:835:529                     keypressedValue                                 -1
  17-03-2024 17:37:44:835:563                      dronePositionY                                 15
  17-03-2024 17:37:44:835:593                      dronePositionX                                 15
  17-03-2024 17:37:44:936:156            Server performed 1 cycle                                 -
  17-03-2024 17:37:44:936:249                     keypressedValue                                 -1
  17-03-2024 17:37:44:936:287                      dronePositionY                                 15
  17-03-2024 17:37:44:936:325                      dronePositionX                                 15
   17-03-2024 17:37:45:37:517            Server performed 1 cycle                                 -
   17-03-2024 17:37:45:37:671                     keypressedValue                                 -1
   17-03-2024 17:37:45:37:720                      dronePositionY                                 15
   17-03-2024 17:37:45:37:763                      dronePositionX                                 15
   17-03-2024 17:37:45:138:74            Server performed 1 cycle                                 -
  17-03-2024 17:37:45:138:201                     keypressedValue                                 -1
  17-03-2024 17:37:45:138:253                      dronePositionY                                 15
  17-03-2024 17:37:45:138:284                      dronePositionX                                 15
   17-03-2024 17:37:45:239:96            Server performed 1 cycle                                 -
  17-03-2024 17:37:45:239:243                     keypressedValue                                 -1
  17-03-2024 17:37:45:239:299                      dronePositionY                                 15
  17-03-2024 17:37:45:239:350                      dronePositionX                                 15
  17-03-2024 17:37:45:339:707            Server performed 1 cycle                                 -
  17-03-2024 17:37:45:339:820                     keypressedValue                                 -1
  17-03-2024 17:37:45:339:855                      dronePositionY                                 15
  17-03-2024 17:37:45:339:885                      dronePositionX                                 15
  17-03-2024 17:37:45:440:293            Server performed 1 cycle                                 -
  17-03-2024 17:37:45:440:401                     keypressedValue                                 -1
  17-03-2024 17:37:45:440:435                      dronePositionY                                 15
  17-03-2024 17:37:45:440:466                      dronePositionX                                 15
  17-03-2024 17:37:45:540:751            Server performed 1 cycle                                 -
  17-03-2024 17:37:45:540:859                     keypressedValue                                 -1
  17-03-2024 17:37:45:540:894                      dronePositionY                                 15
  17-03-2024 17:37:45:540:924                      dronePositionX                                 15
  17-03-2024 17:37:45:641:535            Server performed 1 cycle                                 -
  17-03-2024 17:37:45:641:639                     keypressedValue                                 -1
  17-03-2024 17:37:45:641:673                      dronePositionY                                 15
  17-03-2024 17:37:45:641:703                      dronePositionX                                 15
  17-03-2024 17:37:45:742:339            Server performed 1 cycle                                 -
  17-03-2024 17:37:45:742:406                     keypressedValue                                 -1
  17-03-2024 17:37:45:742:438                      dronePositionY                                 15
  17-03-2024 17:37:45:742:468                      dronePositionX                                 15
  17-03-2024 17:37:45:842:657            Server performed 1 cycle                                 -
  17-03-2024 17:37:45:842:764                     keypressedValue                                 -1
  17-03-2024 17:37:45:842:799                      dronePositionY                                 15
  17-03-2024 17:37:45:842:828                      dronePositionX                                 15
  17-03-2024 17:37:45:943:257            Server performed 1 cycle                                 -
  17-03-2024 17:37:45:943:364                     keypressedValue                                 -1
  17-03-2024 17:37:45:943:398                      dronePositionY                                 15
  17-03-2024 17:37:45:943:428                      dronePositionX                                 15
   17-03-2024 17:37:46:43:963            Server performed 1 cycle                                 -
    17-03-2024 17:37:46:44:71                     keypressedValue                                 -1
   17-03-2024 17:37:46:44:106                      dronePositionY                                 15
   17-03-2024 17:37:46:44:135                      dronePositionX                                 15
  17-03-2024 17:37:46:144:490            Server performed 1 cycle                                 -
  17-03-2024 17:37:46:144:623                     keypressedValue                                 -1
  17-03-2024 17:37:46:144:678                      dronePositionY                                 15
  17-03-2024 17:37:46:144:745                      dronePositionX                                 15
  17-03-2024 17:37:46:245:109            Server performed 1 cycle                                 -
  17-03-2024 17:37:46:245:216                     keypressedValue                                 -1
  17-03-2024 17:37:46:245:250                      dronePositionY                                 15
  17-03-2024 17:37:46:245:279                      dronePositionX                                 15
    17-03-2024 17:37:46:346:6            Server performed 1 cycle                                 -
  17-03-2024 17:37:46:346:109                     keypressedValue                                 -1
  17-03-2024 17:37:46:346:143                      dronePositionY                                 15
  17-03-2024 17:37:46:346:174                      dronePositionX                                 15
  17-03-2024 17:37:46:446:617            Server performed 1 cycle                                 -
  17-03-2024 17:37:46:446:727                     keypressedValue                                 -1
  17-03-2024 17:37:46:446:761                      dronePositionY                                 15
  17-03-2024 17:37:46:446:791                      dronePositionX                                 15
  17-03-2024 17:37:46:547:811            Server performed 1 cycle                                 -
  17-03-2024 17:37:46:547:916                     keypressedValue                                 -1
  17-03-2024 17:37:46:547:951                      dronePositionY                                 15
  17-03-2024 17:37:46:547:981                      dronePositionX                                 15
  17-03-2024 17:37:46:649:349            Server performed 1 cycle                                 -
  17-03-2024 17:37:46:649:457                     keypressedValue                                 -1
  17-03-2024 17:37:46:649:491                      dronePositionY                                 15
  17-03-2024 17:37:46:649:521                      dronePositionX                                 15
   17-03-2024 17:37:46:750:70            Server performed 1 cycle                                 -
  17-03-2024 17:37:46:750:206                     keypressedValue                                 -1
  17-03-2024 17:37:46:750:242                      dronePositionY                                 15
  17-03-2024 17:37:46:750:273                      dronePositionX                                 15
  17-03-2024 17:37:46:850:811            Server performed 1 cycle                                 -
  17-03-2024 17:37:46:850:954                     keypressedValue                                 -1
  17-03-2024 17:37:46:850:999                      dronePositionY                                 15
   17-03-2024 17:37:46:851:39                      dronePositionX                                 15
  17-03-2024 17:37:46:951:328            Server performed 1 cycle                                 -
  17-03-2024 17:37:46:951:431                     keypressedValue                                 -1
  17-03-2024 17:37:46:951:466                      dronePositionY                                 15
  17-03-2024 17:37:46:951:496                      dronePositionX                                 15
   17-03-2024 17:37:47:52:303            Server performed 1 cycle                                 -
   17-03-2024 17:37:47:52:407                     keypressedValue                                 -1
   17-03-2024 17:37:47:52:441                      dronePositionY                                 15
   17-03-2024 17:37:47:52:470                      dronePositionX                                 15
  17-03-2024 17:37:47:152:919            Server performed 1 cycle                                 -
   17-03-2024 17:37:47:153:30                     keypressedValue                                 -1
   17-03-2024 17:37:47:153:64                      dronePositionY                                 15
   17-03-2024 17:37:47:153:94                      dronePositionX                                 15
  17-03-2024 17:37:47:253:313            Server performed 1 cycle                                 -
  17-03-2024 17:37:47:253:422                     keypressedValue                                 -1
  17-03-2024 17:37:47:253:457                      dronePositionY                                 15
  17-03-2024 17:37:47:253:487                      dronePositionX                                 15
